experiment	item	condition	conditionlabel	tasklabel	content	word	text	lab	woi	design	record	session	instructions	participant	playlist	experimentTrial	sessionTrial	recordedFile	trialDuration	date	trialStart	trialEnd
habitual	11	1	h1	dfd  	t_a             	ATOD                                                                                        	ATOD. PLEASE SAY ATOD AGAIN.                                                                                                                                                                                  	ATOD. PLEASE SAY ATOD AGAIN.                                                                	ATOD. PLEASE SAY ATOD AGAIN.                                                                	Fixed	y	1	instructions_h1.txt	1	1	38	38	habitual_1_11_1.wav	3.5812	25-Apr-18	16:44:35	16:44:38
habitual	20	1	h1	dfd  	k_u             	AKUDE                                                                                       	AKUDE. PLEASE SAY AKUDE AGAIN.                                                                                                                                                                                	AKUDE. PLEASE SAY AKUDE AGAIN.                                                              	AKUDE. PLEASE SAY AKUDE AGAIN.                                                              	Fixed	y	1	instructions_h1.txt	1	1	39	39	habitual_1_20_1.wav	3.7351	25-Apr-18	16:44:39	16:44:42
habitual	24	1	h1	dfd  	g_u             	AGUDE                                                                                       	AGUDE. PLEASE SAY AGUDE AGAIN.                                                                                                                                                                                	AGUDE. PLEASE SAY AGUDE AGAIN.                                                              	AGUDE. PLEASE SAY AGUDE AGAIN.                                                              	Fixed	y	1	instructions_h1.txt	1	1	40	40	habitual_1_24_1.wav	3.6603	25-Apr-18	16:44:43	16:44:46
habitual	46	1	h1	dfd  	l_a             	ALOD                                                                                        	ALOD. PLEASE SAY ALOD AGAIN.                                                                                                                                                                                  	ALOD. PLEASE SAY ALOD AGAIN.                                                                	ALOD. PLEASE SAY ALOD AGAIN.                                                                	Fixed	y	1	instructions_h1.txt	1	1	41	41	habitual_1_46_1.wav	3.63	25-Apr-18	16:44:46	16:44:50
habitual	38	1	h1	dfd  	v_a             	AVOD                                                                                        	AVOD. PLEASE SAY AVOD AGAIN.                                                                                                                                                                                  	AVOD. PLEASE SAY AVOD AGAIN.                                                                	AVOD. PLEASE SAY AVOD AGAIN.                                                                	Fixed	y	1	instructions_h1.txt	1	1	42	42	habitual_1_38_1.wav	4.0703	25-Apr-18	16:44:50	16:44:54
habitual	21	1	h1	dfd  	g_i             	AGEED                                                                                       	AGEED. PLEASE SAY AGEED AGAIN.                                                                                                                                                                                	AGEED. PLEASE SAY AGEED AGAIN.                                                              	AGEED. PLEASE SAY AGEED AGAIN.                                                              	Fixed	y	1	instructions_h1.txt	1	1	43	43	habitual_1_21_1.wav	3.6827	25-Apr-18	16:44:54	16:44:58
habitual	36	1	h1	dfd  	z_u             	AZUDE                                                                                       	AZUDE. PLEASE SAY AZUDE AGAIN.                                                                                                                                                                                	AZUDE. PLEASE SAY AZUDE AGAIN.                                                              	AZUDE. PLEASE SAY AZUDE AGAIN.                                                              	Fixed	y	1	instructions_h1.txt	1	1	44	44	habitual_1_36_1.wav	3.71	25-Apr-18	16:44:58	16:45:02
habitual	61	1	h1	pic  	pic             	Please say 3 sentences about this picture: BEACH                                            	Please say 3 sentences about this picture: BEACH                                                                                                                                                              	Please say 3 sentences about this picture: BEACH                                            	Please say 3 sentences about this picture: BEACH                                            	Fixed	y	1	instructions_h1.txt	1	1	45	45	habitual_1_61_1.wav	31.4017	25-Apr-18	16:45:02	16:45:33
habitual	60	1	h1	pic  	pic             	Please say 3 sentences about this picture: FARM                                             	Please say 3 sentences about this picture: FARM                                                                                                                                                               	Please say 3 sentences about this picture: FARM                                             	Please say 3 sentences about this picture: FARM                                             	Fixed	y	1	instructions_h1.txt	1	1	46	46	habitual_1_60_1.wav	35.1903	25-Apr-18	16:45:33	16:46:09
habitual	27	1	h1	dfd  	s_a             	ASOD                                                                                        	ASOD. PLEASE SAY ASOD AGAIN.                                                                                                                                                                                  	ASOD. PLEASE SAY ASOD AGAIN.                                                                	ASOD. PLEASE SAY ASOD AGAIN.                                                                	Fixed	y	1	instructions_h1.txt	1	1	47	47	habitual_1_27_1.wav	4.7089	25-Apr-18	16:46:09	16:46:14
habitual	3	1	h1	dfd  	p_a             	APOD                                                                                        	APOD. PLEASE SAY APOD AGAIN.                                                                                                                                                                                  	APOD. PLEASE SAY APOD AGAIN.                                                                	APOD. PLEASE SAY APOD AGAIN.                                                                	Fixed	y	1	instructions_h1.txt	1	1	48	48	habitual_1_3_1.wav	3.1959	25-Apr-18	16:46:14	16:46:17
habitual	14	1	h1	dfd  	d_ae            	ADAD                                                                                        	ADAD. PLEASE SAY ADAD AGAIN.                                                                                                                                                                                  	ADAD. PLEASE SAY ADAD AGAIN.                                                                	ADAD. PLEASE SAY ADAD AGAIN.                                                                	Fixed	y	1	instructions_h1.txt	1	1	49	49	habitual_1_14_1.wav	3.4678	25-Apr-18	16:46:18	16:46:21
habitual	1	1	h1	dfd  	p_i             	APEED                                                                                       	APEED. PLEASE SAY APEED AGAIN.                                                                                                                                                                                	APEED. PLEASE SAY APEED AGAIN.                                                              	APEED. PLEASE SAY APEED AGAIN.                                                              	Fixed	y	1	instructions_h1.txt	1	1	50	50	habitual_1_1_1.wav	3.7039	25-Apr-18	16:46:21	16:46:25
habitual	42	1	h1	dfd  	ch_a            	ACHOD                                                                                       	ACHOD. PLEASE SAY ACHOD AGAIN.                                                                                                                                                                                	ACHOD. PLEASE SAY ACHOD AGAIN.                                                              	ACHOD. PLEASE SAY ACHOD AGAIN.                                                              	Fixed	y	1	instructions_h1.txt	1	1	51	51	habitual_1_42_1.wav	3.8147	25-Apr-18	16:46:25	16:46:29
habitual	7	1	h1	dfd  	b_a             	ABOD                                                                                        	ABOD. PLEASE SAY ABOD AGAIN.                                                                                                                                                                                  	ABOD. PLEASE SAY ABOD AGAIN.                                                                	ABOD. PLEASE SAY ABOD AGAIN.                                                                	Fixed	y	1	instructions_h1.txt	1	1	52	52	habitual_1_7_1.wav	3.5047	25-Apr-18	16:46:29	16:46:32
habitual	40	1	h1	dfd  	dh_a            	ATHODD                                                                                      	ATHODD. PLEASE SAY ATHODD AGAIN.                                                                                                                                                                              	ATHODD. PLEASE SAY ATHODD AGAIN.                                                            	ATHODD. PLEASE SAY ATHODD AGAIN.                                                            	Fixed	y	1	instructions_h1.txt	1	1	53	53	habitual_1_40_1.wav	12.5614	25-Apr-18	16:46:33	16:46:45
habitual	43	1	h1	dfd  	dj_a            	AJOD                                                                                        	AJOD. PLEASE SAY AJOD AGAIN.                                                                                                                                                                                  	AJOD. PLEASE SAY AJOD AGAIN.                                                                	AJOD. PLEASE SAY AJOD AGAIN.                                                                	Fixed	y	1	instructions_h1.txt	1	1	54	54	habitual_1_43_1.wav	4.0588	25-Apr-18	16:46:46	16:46:50
habitual	13	1	h1	dfd  	d_i             	ADEED                                                                                       	ADEED. PLEASE SAY ADEED AGAIN.                                                                                                                                                                                	ADEED. PLEASE SAY ADEED AGAIN.                                                              	ADEED. PLEASE SAY ADEED AGAIN.                                                              	Fixed	y	1	instructions_h1.txt	1	1	55	55	habitual_1_13_1.wav	3.5774	25-Apr-18	16:46:50	16:46:53
habitual	48	1	h1	dfd  	j_a             	AYOD                                                                                        	AYOD. PLEASE SAY AYOD AGAIN.                                                                                                                                                                                  	AYOD. PLEASE SAY AYOD AGAIN.                                                                	AYOD. PLEASE SAY AYOD AGAIN.                                                                	Fixed	y	1	instructions_h1.txt	1	1	56	56	habitual_1_48_1.wav	3.9302	25-Apr-18	16:46:54	16:46:57
habitual	12	1	h1	dfd  	t_u             	ATUDE                                                                                       	ATUDE. PLEASE SAY ATUDE AGAIN.                                                                                                                                                                                	ATUDE. PLEASE SAY ATUDE AGAIN.                                                              	ATUDE. PLEASE SAY ATUDE AGAIN.                                                              	Fixed	y	1	instructions_h1.txt	1	1	57	57	habitual_1_12_1.wav	3.7461	25-Apr-18	16:46:58	16:47:01
habitual	17	1	h1	dfd  	k_i             	AKEED                                                                                       	AKEED. PLEASE SAY AKEED AGAIN.                                                                                                                                                                                	AKEED. PLEASE SAY AKEED AGAIN.                                                              	AKEED. PLEASE SAY AKEED AGAIN.                                                              	Fixed	y	1	instructions_h1.txt	1	1	58	58	habitual_1_17_1.wav	3.6927	25-Apr-18	16:47:02	16:47:05
habitual	28	1	h1	dfd  	s_u             	ASUDE                                                                                       	ASUDE. PLEASE SAY ASUDE AGAIN.                                                                                                                                                                                	ASUDE. PLEASE SAY ASUDE AGAIN.                                                              	ASUDE. PLEASE SAY ASUDE AGAIN.                                                              	Fixed	y	1	instructions_h1.txt	1	1	59	59	habitual_1_28_1.wav	3.8335	25-Apr-18	16:47:05	16:47:09
habitual	53	1	h1	sit  	5 word sentence 	SIT SENTENCE1: 5 words                                                                      	5A. Contrast is important in life.                                                                                                                                                                            	SIT SENTENCE1: 5 words                                                                      	SIT SENTENCE1: 5 words                                                                      	Fixed	y	1	instructions_h1.txt	1	1	60	60	habitual_1_53_1.wav	4.603	25-Apr-18	16:47:09	16:47:14
habitual	54	1	h1	sit  	7 word sentence 	SIT SENTENCE2: 7 words                                                                      	7A. Trees are listed by their common names.                                                                                                                                                                   	SIT SENTENCE2: 7 words                                                                      	SIT SENTENCE2: 7 words                                                                      	Fixed	y	1	instructions_h1.txt	1	1	61	61	habitual_1_54_1.wav	4.5086	25-Apr-18	16:47:14	16:47:19
habitual	55	1	h1	sit  	9 word sentence 	SIT SENTENCE3: 9 words                                                                      	9A. I can only describe that action as totally ridiculous.                                                                                                                                                    	SIT SENTENCE3: 9 words                                                                      	SIT SENTENCE3: 9 words                                                                      	Fixed	y	1	instructions_h1.txt	1	1	62	62	habitual_1_55_1.wav	5.9801	25-Apr-18	16:47:19	16:47:25
habitual	63	1	h1	con  	monologue       	Conversation: Now turn to the examiner and say a few sentences about the topic she provides.	Conversation: Now turn to the examiner and say a few sentences about the following prompt. Please read the prompt aloud when you are ready. Ready? Please tell me about what you like to do in your free time.	Conversation: Now turn to the examiner and say a few sentences about the topic she provides.	Conversation: Now turn to the examiner and say a few sentences about the topic she provides.	Fixed	y	1	instructions_h1.txt	1	1	63	63	habitual_1_63_1.wav	31.3647	25-Apr-18	16:47:25	16:47:56
habitual	3	1	h1	dfd  	p_a             	APOD                                                                                        	APOD. PLEASE SAY APOD AGAIN.                                                                                                                                                                                  	APOD. PLEASE SAY APOD AGAIN.                                                                	APOD. PLEASE SAY APOD AGAIN.                                                                	Fixed	y	1	instructions_h1.txt	2	1	1	1	habitual_2_3_1.wav	19.1859	07-May-2018	17:21:35	17:21:54	
habitual	24	1	h1	dfd  	g_u             	AGUDE                                                                                       	AGUDE. PLEASE SAY AGUDE AGAIN.                                                                                                                                                                                	AGUDE. PLEASE SAY AGUDE AGAIN.                                                              	AGUDE. PLEASE SAY AGUDE AGAIN.                                                              	Fixed	y	1	instructions_h1.txt	2	1	2	2	habitual_2_24_1.wav	18.3851	07-May-2018	17:21:55	17:22:13	
habitual	17	1	h1	dfd  	k_i             	AKEED                                                                                       	AKEED. PLEASE SAY AKEED AGAIN.                                                                                                                                                                                	AKEED. PLEASE SAY AKEED AGAIN.                                                              	AKEED. PLEASE SAY AKEED AGAIN.                                                              	Fixed	y	1	instructions_h1.txt	2	1	3	3	habitual_2_17_1.wav	23.6555	07-May-2018	17:22:22	17:22:46	
habitual	50	1	h1	dfd  	h_i             	AHEED                                                                                       	AHEED. PLEASE SAY AHEED AGAIN.                                                                                                                                                                                	AHEED. PLEASE SAY AHEED AGAIN.                                                              	AHEED. PLEASE SAY AHEED AGAIN.                                                              	Fixed	y	1	instructions_h1.txt	2	1	4	4	habitual_2_50_1.wav	4.1365	07-May-2018	17:22:47	17:22:51	
habitual	41	1	h1	dfd  	h_a             	AHOD                                                                                        	AHOD. PLEASE SAY AHOD AGAIN.                                                                                                                                                                                  	AHOD. PLEASE SAY AHOD AGAIN.                                                                	AHOD. PLEASE SAY AHOD AGAIN.                                                                	Fixed	y	1	instructions_h1.txt	2	1	5	5	habitual_2_41_1.wav	4.4976	07-May-2018	17:22:51	17:22:56	
habitual	8	1	h1	dfd  	b_u             	ABUDE                                                                                       	ABUDE. PLEASE SAY ABUDE AGAIN.                                                                                                                                                                                	ABUDE. PLEASE SAY ABUDE AGAIN.                                                              	ABUDE. PLEASE SAY ABUDE AGAIN.                                                              	Fixed	y	1	instructions_h1.txt	2	1	6	6	habitual_2_8_1.wav	3.933	07-May-2018	17:22:56	17:23:00	
habitual	30	1	h1	dfd  	sh_ae           	ASHAD                                                                                       	ASHAD. PLEASE SAY ASHAD AGAIN.                                                                                                                                                                                	ASHAD. PLEASE SAY ASHAD AGAIN.                                                              	ASHAD. PLEASE SAY ASHAD AGAIN.                                                              	Fixed	y	1	instructions_h1.txt	2	1	7	7	habitual_2_30_1.wav	4.2274	07-May-2018	17:23:00	17:23:05	
habitual	6	1	h1	dfd  	b_ae            	ABAD                                                                                        	ABAD. PLEASE SAY ABAD AGAIN.                                                                                                                                                                                  	ABAD. PLEASE SAY ABAD AGAIN.                                                                	ABAD. PLEASE SAY ABAD AGAIN.                                                                	Fixed	y	1	instructions_h1.txt	2	1	8	8	habitual_2_6_1.wav	3.7847	07-May-2018	17:23:05	17:23:09	
habitual	10	1	h1	dfd  	t_ae            	ATAD                                                                                        	ATAD. PLEASE SAY ATAD AGAIN.                                                                                                                                                                                  	ATAD. PLEASE SAY ATAD AGAIN.                                                                	ATAD. PLEASE SAY ATAD AGAIN.                                                                	Fixed	y	1	instructions_h1.txt	2	1	9	9	habitual_2_10_1.wav	3.8343	07-May-2018	17:23:09	17:23:13	
habitual	21	1	h1	dfd  	g_i             	AGEED                                                                                       	AGEED. PLEASE SAY AGEED AGAIN.                                                                                                                                                                                	AGEED. PLEASE SAY AGEED AGAIN.                                                              	AGEED. PLEASE SAY AGEED AGAIN.                                                              	Fixed	y	1	instructions_h1.txt	2	1	10	10	habitual_2_21_1.wav	3.9443	07-May-2018	17:23:13	17:23:17	
